,0
0,19.0
1,18.0
2,17.0
3,17.0
4,16.0
5,15.0
6,15.0
7,14.0
8,14.0
9,13.0
10,13.0
11,12.0
12,12.0
13,11.0
14,11.0
15,10.0
16,10.0
17,9.0
18,9.0
19,9.0
20,8.0
21,8.0
22,8.0
23,8.0
24,7.0
25,7.0
26,7.0
27,7.0
28,7.0
29,7.0
30,7.0
31,7.0
32,7.0
33,7.0
34,7.0
35,7.0
36,7.0
37,8.0
38,8.0
39,8.0
40,8.0
41,9.0
42,9.0
43,9.0
44,10.0
45,10.0
46,11.0
47,12.0
48,12.0
49,13.0
50,13.0
51,14.0
52,15.0
53,17.0
54,19.0
55,21.0
56,24.0
57,29.0
58,34.0
59,41.0
60,47.0
61,53.0
62,59.0
63,67.0
64,74.0
65,79.0
66,84.0
67,91.0
68,97.0
69,100.0
70,108.0
71,114.0
72,119.0
73,125.0
74,129.0
75,134.0
76,144.0
77,152.0
78,153.0
79,154.0
80,154.0
81,151.0
82,147.0
83,138.0
84,129.0
85,125.0
86,114.0
87,105.0
88,96.0
89,92.0
90,90.0
91,86.0
92,84.0
93,81.0
94,79.0
95,77.0
96,78.0
97,79.0
98,79.0
99,79.0
100,80.0
101,83.0
102,85.0
103,86.0
104,86.0
105,87.0
106,88.0
107,88.0
108,87.0
109,86.0
110,90.0
111,96.0
112,104.0
113,109.0
114,112.0
115,112.0
116,115.0
117,113.0
118,109.0
119,107.0
120,106.0
121,108.0
122,106.0
123,108.0
124,109.0
125,111.0
126,113.0
127,110.0
128,107.0
129,104.0
130,104.0
131,105.0
132,104.0
133,102.0
134,101.0
135,104.0
136,105.0
137,102.0
138,101.0
139,103.0
140,101.0
141,104.0
142,105.0
143,104.0
144,100.0
145,96.0
146,95.0
147,96.0
148,98.0
149,102.0
150,103.0
151,102.0
152,99.0
153,98.0
154,101.0
155,103.0
156,104.0
157,101.0
158,100.0
159,99.0
160,101.0
161,102.0
162,101.0
163,102.0
164,104.0
165,102.0
166,102.0
167,101.0
168,98.0
169,95.0
170,96.0
171,95.0
172,101.0
173,100.0
174,98.0
175,97.0
176,99.0
177,104.0
178,108.0
179,106.0
180,105.0
181,102.0
182,101.0
183,101.0
184,104.0
185,105.0
186,103.0
187,102.0
188,101.0
189,103.0
190,104.0
191,105.0
192,102.0
193,104.0
194,102.0
195,99.0
196,96.0
197,93.0
198,91.0
199,90.0
200,89.0
201,89.0
202,90.0
203,88.0
204,85.0
205,83.0
206,80.0
207,81.0
208,86.0
209,91.0
210,92.0
211,88.0
212,85.0
213,84.0
214,86.0
215,85.0
216,84.0
217,83.0
218,82.0
219,81.0
220,80.0
221,80.0
222,79.0
223,79.0
224,81.0
225,80.0
226,80.0
227,81.0
228,79.0
229,76.0
230,73.0
231,71.0
232,73.0
233,75.0
234,74.0
235,71.0
236,68.0
237,67.0
238,67.0
239,66.0
240,64.0
241,62.0
242,60.0
243,60.0
244,59.0
245,57.0
246,57.0
247,58.0
248,57.0
249,56.0
250,54.0
251,52.0
252,50.0
253,48.0
254,47.0
255,46.0
256,45.0
257,44.0
258,43.0
259,43.0
260,43.0
261,42.0
262,42.0
263,41.0
264,40.0
265,39.0
266,38.0
267,36.0
268,35.0
269,33.0
270,31.0
271,30.0
272,28.0
273,27.0
274,26.0
275,24.0
276,23.0
277,22.0
278,21.0
279,20.0
280,19.0
281,18.0
282,17.0
283,16.0
284,15.0
285,14.0
286,13.0
287,12.0
288,12.0
289,12.0
290,11.0
291,11.0
292,11.0
293,11.0
294,11.0
295,11.0
296,11.0
297,11.0
298,11.0
299,11.0
300,10.0
301,10.0
302,10.0
303,10.0
304,9.0
305,9.0
306,9.0
307,8.0
308,8.0
309,8.0
310,8.0
311,7.0
312,7.0
313,7.0
314,7.0
315,7.0
316,7.0
317,7.0
318,7.0
319,7.0
320,7.0
321,7.0
322,7.0
323,7.0
324,7.0
325,7.0
326,7.0
327,7.0
328,7.0
329,7.0
330,8.0
331,8.0
332,9.0
333,9.0
334,10.0
335,11.0
336,13.0
337,14.0
338,15.0
339,17.0
340,19.0
341,22.0
342,26.0
343,31.0
344,36.0
345,41.0
346,46.0
347,51.0
348,56.0
349,62.0
350,67.0
351,72.0
352,79.0
353,84.0
354,89.0
355,93.0
356,97.0
357,102.0
358,108.0
359,113.0
360,117.0
361,126.0
362,133.0
363,136.0
364,140.0
365,144.0
366,147.0
367,150.0
368,150.0
369,144.0
370,140.0
371,133.0
372,124.0
373,117.0
374,111.0
375,104.0
376,96.0
377,89.0
378,85.0
379,84.0
380,82.0
381,82.0
382,80.0
383,77.0
384,73.0
385,72.0
386,70.0
387,69.0
388,69.0
389,69.0
390,70.0
391,70.0
392,71.0
393,74.0
394,76.0
395,79.0
396,83.0
397,86.0
398,90.0
399,97.0
400,99.0
401,106.0
402,107.0
403,106.0
404,109.0
405,108.0
406,106.0
407,105.0
408,106.0
409,107.0
410,110.0
411,110.0
412,112.0
413,114.0
414,112.0
415,113.0
416,113.0
417,114.0
418,111.0
419,111.0
420,109.0
421,109.0
422,107.0
423,106.0
424,106.0
425,106.0
426,105.0
427,108.0
428,104.0
429,103.0
430,102.0
431,103.0
432,101.0
433,102.0
434,102.0
435,102.0
436,100.0
437,100.0
438,101.0
439,101.0
440,100.0
441,99.0
442,99.0
443,98.0
444,99.0
445,100.0
446,102.0
447,99.0
448,100.0
449,101.0
450,99.0
451,96.0
452,96.0
453,97.0
454,96.0
455,96.0
456,97.0
457,97.0
458,96.0
459,94.0
460,99.0
461,101.0
462,101.0
463,99.0
464,99.0
465,101.0
466,104.0
467,103.0
468,101.0
469,99.0
470,98.0
471,101.0
472,104.0
473,103.0
474,104.0
475,101.0
476,99.0
477,101.0
478,102.0
479,101.0
480,99.0
481,97.0
482,97.0
483,95.0
484,97.0
485,100.0
486,101.0
487,97.0
488,93.0
489,94.0
490,93.0
491,94.0
492,92.0
493,93.0
494,93.0
495,98.0
496,100.0
497,102.0
498,100.0
499,96.0
500,94.0
501,92.0
502,91.0
503,90.0
504,91.0
505,88.0
506,86.0
507,87.0
508,85.0
509,84.0
510,85.0
511,83.0
512,80.0
513,78.0
514,76.0
515,74.0
516,72.0
517,69.0
518,67.0
519,67.0
520,67.0
521,68.0
522,67.0
523,67.0
524,66.0
525,64.0
526,62.0
527,63.0
528,62.0
529,60.0
530,58.0
531,56.0
532,54.0
533,52.0
534,51.0
535,51.0
536,50.0
537,49.0
538,48.0
539,47.0
540,46.0
541,45.0
542,44.0
543,44.0
544,44.0
545,44.0
546,44.0
547,44.0
548,43.0
549,43.0
550,42.0
551,41.0
552,40.0
553,39.0
554,38.0
555,36.0
556,34.0
557,33.0
558,31.0
559,29.0
560,28.0
561,26.0
562,24.0
563,23.0
564,22.0
565,20.0
566,19.0
567,18.0
568,16.0
569,16.0
570,15.0
571,14.0
572,13.0
573,13.0
574,12.0
575,12.0
576,12.0
577,11.0
578,11.0
579,11.0
580,10.0
581,10.0
582,10.0
583,9.0
584,9.0
585,9.0
586,8.0
587,8.0
588,8.0
589,8.0
590,7.0
591,7.0
592,7.0
593,6.0
594,6.0
595,6.0
596,6.0
597,6.0
598,6.0
599,6.0
600,5.0
601,5.0
602,5.0
603,5.0
604,5.0
605,5.0
606,5.0
607,5.0
608,6.0
609,6.0
610,7.0
611,7.0
612,7.0
613,8.0
614,8.0
615,8.0
616,8.0
617,8.0
618,8.0
619,8.0
620,8.0
621,9.0
622,9.0
623,10.0
624,10.0
625,11.0
626,12.0
627,14.0
628,15.0
629,17.0
630,19.0
631,21.0
632,25.0
633,30.0
634,36.0
635,41.0
636,46.0
637,50.0
638,53.0
639,57.0
640,63.0
641,68.0
642,72.0
643,77.0
644,84.0
645,92.0
646,98.0
647,103.0
648,107.0
649,111.0
650,117.0
651,122.0
652,131.0
653,141.0
654,149.0
655,153.0
656,156.0
657,160.0
658,159.0
659,153.0
660,145.0
661,138.0
662,122.0
663,109.0
664,99.0
665,94.0
666,90.0
667,87.0
668,83.0
669,81.0
670,81.0
671,81.0
672,83.0
673,84.0
674,84.0
675,85.0
676,86.0
677,85.0
678,87.0
679,91.0
680,92.0
681,91.0
682,92.0
683,92.0
684,93.0
685,96.0
686,101.0
687,103.0
688,109.0
689,116.0
690,118.0
691,119.0
692,117.0
693,115.0
694,114.0
695,114.0
696,117.0
697,114.0
698,113.0
699,112.0
700,114.0
701,113.0
702,111.0
703,113.0
704,111.0
705,110.0
706,107.0
707,105.0
708,103.0
709,104.0
710,105.0
711,108.0
712,107.0
713,105.0
714,102.0
715,101.0
