,0
0,22.0
1,19.0
2,9.0
3,18.0
4,15.0
5,16.0
6,23.0
7,17.0
8,12.0
9,9.0
10,9.0
11,6.0
12,14.0
13,6.0
14,12.0
15,9.0
16,6.0
17,17.0
18,4.0
19,6.0
20,10.0
21,9.0
22,6.0
23,6.0
24,6.0
25,9.0
26,5.0
27,3.0
28,1.0
29,8.0
30,8.0
31,6.0
32,10.0
33,3.0
34,13.0
35,5.0
36,8.0
37,7.0
38,6.0
39,6.0
40,6.0
41,6.0
42,17.0
43,8.0
44,10.0
45,9.0
46,12.0
47,5.0
48,6.0
49,15.0
50,20.0
51,15.0
52,18.0
53,19.0
54,24.0
55,27.0
56,32.0
57,46.0
58,61.0
59,44.0
60,60.0
61,65.0
62,76.0
63,69.0
64,66.0
65,79.0
66,103.0
67,96.0
68,79.0
69,138.0
70,117.0
71,103.0
72,117.0
73,103.0
74,118.0
75,154.0
76,154.0
77,142.0
78,156.0
79,164.0
80,169.0
81,175.0
82,162.0
83,155.0
84,178.0
85,147.0
86,135.0
87,110.0
88,124.0
89,116.0
90,91.0
91,96.0
92,82.0
93,83.0
94,80.0
95,91.0
96,88.0
97,76.0
98,83.0
99,90.0
100,93.0
101,91.0
102,91.0
103,81.0
104,86.0
105,87.0
106,74.0
107,67.0
108,72.0
109,92.0
110,89.0
111,111.0
112,106.0
113,116.0
114,111.0
115,136.0
116,108.0
117,102.0
118,101.0
119,105.0
120,116.0
121,93.0
122,113.0
123,107.0
124,120.0
125,123.0
126,93.0
127,103.0
128,91.0
129,109.0
130,106.0
131,96.0
132,98.0
133,95.0
134,119.0
135,111.0
136,91.0
137,106.0
138,123.0
139,95.0
140,127.0
141,119.0
142,108.0
143,68.0
144,87.0
145,98.0
146,95.0
147,104.0
148,110.0
149,109.0
150,98.0
151,90.0
152,100.0
153,117.0
154,109.0
155,111.0
156,95.0
157,100.0
158,93.0
159,114.0
160,102.0
161,93.0
162,107.0
163,116.0
164,91.0
165,108.0
166,95.0
167,87.0
168,83.0
169,101.0
170,89.0
171,127.0
172,91.0
173,96.0
174,95.0
175,116.0
176,126.0
177,134.0
178,114.0
179,115.0
180,97.0
181,103.0
182,104.0
183,120.0
184,103.0
185,94.0
186,94.0
187,96.0
188,106.0
189,105.0
190,106.0
191,91.0
192,120.0
193,94.0
194,90.0
195,87.0
196,85.0
197,82.0
198,83.0
199,86.0
200,83.0
201,89.0
202,76.0
203,73.0
204,76.0
205,72.0
206,88.0
207,104.0
208,107.0
209,94.0
210,73.0
211,80.0
212,88.0
213,98.0
214,80.0
215,76.0
216,84.0
217,79.0
218,73.0
219,82.0
220,76.0
221,73.0
222,83.0
223,85.0
224,76.0
225,80.0
226,88.0
227,70.0
228,68.0
229,68.0
230,69.0
231,89.0
232,81.0
233,63.0
234,58.0
235,69.0
236,67.0
237,73.0
238,63.0
239,57.0
240,67.0
241,54.0
242,72.0
243,52.0
244,61.0
245,74.0
246,65.0
247,61.0
248,51.0
249,42.0
250,49.0
251,39.0
252,56.0
253,42.0
254,62.0
255,52.0
256,44.0
257,54.0
258,60.0
259,49.0
260,46.0
261,40.0
262,42.0
263,28.0
264,34.0
265,44.0
266,24.0
267,32.0
268,44.0
269,36.0
270,32.0
271,28.0
272,26.0
273,26.0
274,26.0
275,21.0
276,23.0
277,17.0
278,15.0
279,18.0
280,16.0
281,14.0
282,17.0
283,16.0
284,7.0
285,17.0
286,17.0
287,14.0
288,22.0
289,18.0
290,16.0
291,17.0
292,16.0
293,16.0
294,12.0
295,9.0
296,12.0
297,19.0
298,10.0
299,10.0
300,7.0
301,7.0
302,3.0
303,9.0
304,3.0
305,9.0
306,9.0
307,6.0
308,3.0
309,8.0
310,6.0
311,1.0
312,12.0
313,4.0
314,10.0
315,5.0
316,4.0
317,3.0
318,5.0
319,0.0
320,7.0
321,0.0
322,5.0
323,7.0
324,6.0
325,3.0
326,6.0
327,8.0
328,10.0
329,6.0
330,8.0
331,14.0
332,8.0
333,12.0
334,9.0
335,8.0
336,7.0
337,17.0
338,18.0
339,23.0
340,17.0
341,24.0
342,28.0
343,41.0
344,37.0
345,46.0
346,62.0
347,50.0
348,58.0
349,62.0
350,60.0
351,87.0
352,71.0
353,79.0
354,79.0
355,94.0
356,104.0
357,107.0
358,106.0
359,100.0
360,135.0
361,124.0
362,105.0
363,120.0
364,133.0
365,133.0
366,150.0
367,151.0
368,138.0
369,152.0
370,142.0
371,133.0
372,132.0
373,134.0
374,117.0
375,97.0
376,86.0
377,96.0
378,98.0
379,86.0
380,88.0
381,73.0
382,62.0
383,59.0
